*******************************************************************************
 Revised: April 12, 2021                 Earth                              399
 
 GEOPHYSICAL PROPERTIES (revised Aug 15, 2018):
  Vol. Mean Radius (km)    = 6371.01+-0.02   Mass x10^24 (kg)= 5.97219+-0.0006
  Equ. radius, km          = 6378.137        Mass layers:
  Polar axis, km           = 6356.752          Atmos         = 5.1   x 10^18 kg
  Flattening               = 1/298.257223563   oceans        = 1.4   x 10^21 kg
  Density, g/cm^3          = 5.51              crust         = 2.6   x 10^22 kg
  J2 (IERS 2010)           = 0.00108262545     mantle        = 4.043 x 10^24 kg
  g_p, m/s^2  (polar)      = 9.8321863685      outer core    = 1.835 x 10^24 kg
  g_e, m/s^2  (equatorial) = 9.7803267715      inner core    = 9.675 x 10^22 kg
  g_o, m/s^2               = 9.82022         Fluid core rad  = 3480 km
  GM, km^3/s^2             = 398600.435436   Inner core rad  = 1215 km
  GM 1-sigma, km^3/s^2     =      0.0014     Escape velocity = 11.186 km/s
  Rot. Rate (rad/s)        = 0.00007292115   Surface area:
  Mean sidereal day, hr    = 23.9344695944     land          = 1.48 x 10^8 km
  Mean solar day 2000.0, s = 86400.002         sea           = 3.62 x 10^8 km
  Mean solar day 1820.0, s = 86400.0         Love no., k2    = 0.299
  Moment of inertia        = 0.3308          Atm. pressure   = 1.0 bar
  Mean temperature, K      = 270             Volume, km^3    = 1.08321 x 10^12
  Mean effect. IR temp, K  = 255             Magnetic moment = 0.61 gauss Rp^3
  Geometric albedo         = 0.367           Vis. mag. V(1,0)= -3.86
  Solar Constant (W/m^2)   = 1367.6 (mean), 1414 (perihelion), 1322 (aphelion)
 HELIOCENTRIC ORBIT CHARACTERISTICS:
  Obliquity to orbit, deg  = 23.4392911  Sidereal orb period  = 1.0000174 y
  Orbital speed, km/s      = 29.79       Sidereal orb period  = 365.25636 d
  Mean daily motion, deg/d = 0.9856474   Hill's sphere radius = 234.9       
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Wed Dec  1 19:46:22 2021 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Earth (399)                     {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2031-May-19 00:00:00.0000 TDB
Stop  time      : A.D. 2032-Feb-24 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2463005.500000000, A.D. 2031-May-19 00:00:00.0000, -5.447452277673132E-01, -8.523597106387011E-01,  6.154273687607713E-05,  1.422045118843587E-02, -9.335874205891975E-03,  1.142588741913349E-06,  5.842314182297276E-03,  1.011565343061367E+00,  2.085877959938953E-04,
2463006.500000000, A.D. 2031-May-20 00:00:00.0000, -5.304469652359389E-01, -8.615728802767446E-01,  6.270411576464234E-05,  1.437533942406920E-02, -9.090008521390880E-03,  1.175049119825968E-06,  5.843505549528408E-03,  1.011771621902981E+00,  2.039489159353363E-04,
2463007.500000000, A.D. 2031-May-21 00:00:00.0000, -5.159960311402482E-01, -8.705388359640820E-01,  6.388251126816789E-05,  1.452578150390067E-02, -8.841467864305206E-03,  1.176583003618662E-06,  5.844669812144361E-03,  1.011973207725957E+00,  1.992104249469345E-04,
2463008.500000000, A.D. 2031-May-22 00:00:00.0000, -5.013969075574762E-01, -8.792549681415289E-01,  6.504709563775797E-05,  1.467170808442499E-02, -8.590383688675344E-03,  1.147596798957710E-06,  5.845806541428836E-03,  1.012170026300367E+00,  1.944224230391094E-04,
2463009.500000000, A.D. 2031-May-23 00:00:00.0000, -4.866541385445817E-01, -8.877188000765306E-01,  6.616803859042073E-05,  1.481306438936041E-02, -8.336889703224363E-03,  1.089642215852356E-06,  5.846915585441989E-03,  1.012362051318644E+00,  1.896304844265300E-04,
2463010.500000000, A.D. 2031-May-24 00:00:00.0000, -4.717723161712094E-01, -8.959279887557423E-01,  6.721753818308423E-05,  1.494980889892355E-02, -8.081119266686480E-03,  1.005184622672196E-06,  5.847997040579707E-03,  1.012549299471218E+00,  1.848749770498772E-04,
2463011.500000000, A.D. 2031-May-25 00:00:00.0000, -4.567560681411526E-01, -9.038803235758098E-01,  6.817061806834044E-05,  1.508191154233664E-02, -7.823203628040325E-03,  8.973740153019763E-07,  5.849051221288173E-03,  1.012731825202758E+00,  1.801911100406027E-04,
2463012.500000000, A.D. 2031-May-26 00:00:00.0000, -4.416100473004288E-01, -9.115737237649509E-01,  6.900571369011625E-05,  1.520935180956793E-02, -7.563271155069071E-03,  7.698583598972678E-07,  5.850078632078808E-03,  1.012909715866708E+00,  1.756096609366823E-04,
2463013.500000000, A.D. 2031-May-27 00:00:00.0000, -4.263389228763008E-01, -9.190062355084013E-01,  6.970510756792773E-05,  1.533211725579347E-02, -7.301447483965136E-03,  6.266730759871586E-07,  5.851079945242699E-03,  1.013083087866661E+00,  1.711581759798277E-04,
2463014.500000000, A.D. 2031-May-28 00:00:00.0000, -4.109473728314969E-01, -9.261760295754130E-01,  7.025530114516146E-05,  1.545020283114767E-02, -7.037856309533934E-03,  4.722265903950919E-07,  5.852055986086287E-03,  1.013252084100000E+00,  1.668623101220781E-04,
