*******************************************************************************
 Revised: June 21, 2016                 Mars                            499 / 4
 
 PHYSICAL DATA (updated 2019-Oct-29):
  Vol. mean radius (km) = 3389.92+-0.04   Density (g/cm^3)      =  3.933(5+-4)
  Mass x10^23 (kg)      =    6.4171       Flattening, f         =  1/169.779
  Volume (x10^10 km^3)  =   16.318        Equatorial radius (km)=  3396.19
  Sidereal rot. period  =   24.622962 hr  Sid. rot. rate, rad/s =  0.0000708822 
  Mean solar day (sol)  =   88775.24415 s Polar gravity m/s^2   =  3.758
  Core radius (km)      = ~1700           Equ. gravity  m/s^2   =  3.71
  Geometric Albedo      =    0.150                                              

  GM (km^3/s^2)         = 42828.375214    Mass ratio (Sun/Mars) = 3098703.59
  GM 1-sigma (km^3/s^2) = +- 0.00028      Mass of atmosphere, kg= ~ 2.5 x 10^16
  Mean temperature (K)  =  210            Atmos. pressure (bar) =    0.0056 
  Obliquity to orbit    =   25.19 deg     Max. angular diam.    =  17.9"
  Mean sidereal orb per =    1.88081578 y Visual mag. V(1,0)    =  -1.52
  Mean sidereal orb per =  686.98 d       Orbital speed,  km/s  =  24.13
  Hill's sphere rad. Rp =  319.8          Escape speed, km/s    =   5.027
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         717         493         589
  Maximum Planetary IR (W/m^2)   470         315         390
  Minimum Planetary IR (W/m^2)    30          30          30
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Wed Nov 17 17:38:20 2021 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Mars (499)                      {source: mar097}
Center body name: Sun (10)                        {source: mar097}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2030-Jan-04 00:00:00.0000 TDB
Stop  time      : A.D. 2032-Jan-04 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2462505.500000000, A.D. 2030-Jan-04 00:00:00.0000,  1.295415795547580E+00, -4.785465219092134E-01, -4.178804140881626E-02,  5.380772407937153E-03,  1.432346404946490E-02,  1.682906282123955E-04,  7.979532495183966E-03,  1.381613222790792E+00,  7.879276876414169E-05,
2462506.500000000, A.D. 2030-Jan-05 00:00:00.0000,  1.300723798275380E+00, -4.641964802093532E-01, -4.161740975987505E-02,  5.235138360952863E-03,  1.437634941456988E-02,  1.729693264482242E-04,  7.980029269542516E-03,  1.381699236604626E+00,  9.323282383400414E-05,
2462507.500000000, A.D. 2030-Jan-06 00:00:00.0000,  1.305885886386526E+00, -4.497943642018196E-01, -4.144210954003130E-02,  5.088946679033000E-03,  1.442761153662282E-02,  1.776276725011586E-04,  7.980609405466044E-03,  1.381799684026006E+00,  1.076596144255190E-04,
2462508.500000000, A.D. 2030-Jan-07 00:00:00.0000,  1.310901512845704E+00, -4.353418004640364E-01, -4.126216143092766E-02,  4.942218583707168E-03,  1.447724377423774E-02,  1.822650034594532E-04,  7.981272820344091E-03,  1.381914550751376E+00,  1.220710786168277E-04,
2462509.500000000, A.D. 2030-Jan-08 00:00:00.0000,  1.315770151879549E+00, -4.208404220483409E-01, -4.107758677115201E-02,  4.794975384962093E-03,  1.452523983681884E-02,  1.868806643723256E-04,  7.982019419644791E-03,  1.382043820413051E+00,  1.364651523763479E-04,
2462510.500000000, A.D. 2030-Jan-09 00:00:00.0000,  1.320491299065348E+00, -4.062918681407703E-01, -4.088840755083623E-02,  4.647238474552473E-03,  1.457159377372171E-02,  1.914740078535627E-04,  7.982849096941988E-03,  1.382187474583912E+00,  1.508397744732165E-04,
2462511.500000000, A.D. 2030-Jan-10 00:00:00.0000,  1.325064471413304E+00, -3.916977837174315E-01, -4.069464640618190E-02,  4.499029319015311E-03,  1.461629996791810E-02,  1.960443936577739E-04,  7.983761733946720E-03,  1.382345492782861E+00,  1.651928890452480E-04,
2462512.500000000, A.D. 2030-Jan-11 00:00:00.0000,  1.329489207443139E+00, -3.770598191995945E-01, -4.049632661434168E-02,  4.350369454260856E-03,  1.465935313844613E-02,  2.005911878989475E-04,  7.984757200549600E-03,  1.382517852482156E+00,  1.795224467864057E-04,
