*******************************************************************************
 Revised: June 21, 2016                 Mars                            499 / 4
 
 PHYSICAL DATA (updated 2019-Oct-29):
  Vol. mean radius (km) = 3389.92+-0.04   Density (g/cm^3)      =  3.933(5+-4)
  Mass x10^23 (kg)      =    6.4171       Flattening, f         =  1/169.779
  Volume (x10^10 km^3)  =   16.318        Equatorial radius (km)=  3396.19
  Sidereal rot. period  =   24.622962 hr  Sid. rot. rate, rad/s =  0.0000708822 
  Mean solar day (sol)  =   88775.24415 s Polar gravity m/s^2   =  3.758
  Core radius (km)      = ~1700           Equ. gravity  m/s^2   =  3.71
  Geometric Albedo      =    0.150                                              

  GM (km^3/s^2)         = 42828.375214    Mass ratio (Sun/Mars) = 3098703.59
  GM 1-sigma (km^3/s^2) = +- 0.00028      Mass of atmosphere, kg= ~ 2.5 x 10^16
  Mean temperature (K)  =  210            Atmos. pressure (bar) =    0.0056 
  Obliquity to orbit    =   25.19 deg     Max. angular diam.    =  17.9"
  Mean sidereal orb per =    1.88081578 y Visual mag. V(1,0)    =  -1.52
  Mean sidereal orb per =  686.98 d       Orbital speed,  km/s  =  24.13
  Hill's sphere rad. Rp =  319.8          Escape speed, km/s    =   5.027
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         717         493         589
  Maximum Planetary IR (W/m^2)   470         315         390
  Minimum Planetary IR (W/m^2)    30          30          30
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Wed Dec  1 19:45:43 2021 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Mars (499)                      {source: mar097}
Center body name: Sun (10)                        {source: mar097}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2031-May-19 00:00:00.0000 TDB
Stop  time      : A.D. 2032-Feb-24 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2463005.500000000, A.D. 2031-May-19 00:00:00.0000, -9.824994011353123E-01, -1.197772446679917E+00, -1.017821605813562E-03,  1.134503879432732E-02, -7.675872790153910E-03, -4.389713729231676E-04,  8.947329177846826E-03,  1.549182023913802E+00, -1.260083104719754E-03,
2463006.500000000, A.D. 2031-May-20 00:00:00.0000, -9.711153799962614E-01, -1.205400516113983E+00, -1.456746557957819E-03,  1.142288401704794E-02, -7.580125770562564E-03, -4.388726745755959E-04,  8.940042725815093E-03,  1.547920413853269E+00, -1.263121471276740E-03,
2463007.500000000, A.D. 2031-May-21 00:00:00.0000, -9.596538737171117E-01, -1.212932418183142E+00, -1.895555173207575E-03,  1.150000746944748E-02, -7.483538594405319E-03, -4.387386660228067E-04,  8.932738996040905E-03,  1.546655812244365E+00, -1.266066104107867E-03,
2463008.500000000, A.D. 2031-May-22 00:00:00.0000, -9.481156088544891E-01, -1.220367314435399E+00, -2.334212063599160E-03,  1.157639956135681E-02, -7.386114711754573E-03, -4.385691873745567E-04,  8.925418531825822E-03,  1.545388313156840E+00, -1.268916306264331E-03,
2463009.500000000, A.D. 2031-May-23 00:00:00.0000, -9.365013215750527E-01, -1.227704369915249E+00, -2.772681679571431E-03,  1.165205067363604E-02, -7.287857669676176E-03, -4.383640807911960E-04,  8.918081880470862E-03,  1.544118011352926E+00, -1.271671393018441E-03,
2463010.500000000, A.D. 2031-May-24 00:00:00.0000, -9.248117576870905E-01, -1.234942753273632E+00, -3.210928311247375E-03,  1.172695115689932E-02, -7.188771118286395E-03, -4.381231895819603E-04,  8.910729593270762E-03,  1.542845002286349E+00, -1.274330687259800E-03,
2463011.500000000, A.D. 2031-May-25 00:00:00.0000, -9.130476726713106E-01, -1.242081636878380E+00, -3.648916089607747E-03,  1.180109132603359E-02, -7.088858820406213E-03, -4.378463556414086E-04,  8.903362225503223E-03,  1.541569382100463E+00, -1.276893509439533E-03,
2463012.500000000, A.D. 2031-May-26 00:00:00.0000, -9.012098317096596E-01, -1.249120196926086E+00, -4.086608988103971E-03,  1.187446145683023E-02, -6.988124659597194E-03, -4.375334178786508E-04,  8.895980336413258E-03,  1.540291247625539E+00, -1.279359170061128E-03,
